Series,Current,Min,Max,Average,
Start Time,-1.79769E+308,,,,
End Time,1.79769E+308,,,,
Current Time,0,,,,
/localization/ekf/odom/header/stamp,1632241930.86669,1632241930.86669,1632243399.41696,1632242665.05339,
/localization/ekf/odom/pose/covariance[0,0],0,0,0,0
/localization/ekf/odom/pose/covariance[0,1],0,0,0,0
/localization/ekf/odom/pose/covariance[0,2],0,0,0,0
/localization/ekf/odom/pose/covariance[0,3],0,0,0,0
/localization/ekf/odom/pose/covariance[0,4],0,0,0,0
/localization/ekf/odom/pose/covariance[0,5],0,0,0,0
/localization/ekf/odom/pose/covariance[1,1],0,0,0,0
/localization/ekf/odom/pose/covariance[1,2],0,0,0,0
/localization/ekf/odom/pose/covariance[1,3],0,0,0,0
/localization/ekf/odom/pose/covariance[1,4],0,0,0,0
/localization/ekf/odom/pose/covariance[1,5],0,0,0,0
/localization/ekf/odom/pose/covariance[2,2],0,0,0,0
/localization/ekf/odom/pose/covariance[2,3],0,0,0,0
/localization/ekf/odom/pose/covariance[2,4],0,0,0,0
/localization/ekf/odom/pose/covariance[2,5],0,0,0,0
/localization/ekf/odom/pose/covariance[3,3],0,0,0,0
/localization/ekf/odom/pose/covariance[3,4],0,0,0,0
/localization/ekf/odom/pose/covariance[3,5],0,0,0,0
/localization/ekf/odom/pose/covariance[4,4],0,0,0,0
/localization/ekf/odom/pose/covariance[4,5],0,0,0,0
/localization/ekf/odom/pose/covariance[5,5],0,0,0,0
/localization/ekf/odom/pose/pose/orientation/pitch_deg,0,0,0,0,
/localization/ekf/odom/pose/pose/orientation/roll_deg,0,0,0,0,
/localization/ekf/odom/pose/pose/orientation/w,0.021716,-0.00086,1,0.371217,
/localization/ekf/odom/pose/pose/orientation/x,0,0,0,0,
/localization/ekf/odom/pose/pose/orientation/y,0,0,0,0,
/localization/ekf/odom/pose/pose/orientation/yaw_deg,-177.51134,-179.998341,179.999012,-67.905211,
/localization/ekf/odom/pose/pose/orientation/z,-0.999764,-1,1,-0.388355,
/localization/ekf/odom/pose/pose/position/x,-2039.443698,-2405.274322,-873.067635,-1828.795412,
/localization/ekf/odom/pose/pose/position/y,296.739843,-413.773459,327.621709,79.576135,
/localization/ekf/odom/pose/pose/position/z,0,0,0,0,
/localization/ekf/odom/twist/covariance[0,0],0,0,0,0
/localization/ekf/odom/twist/covariance[0,1],0,0,0,0
/localization/ekf/odom/twist/covariance[0,2],0,0,0,0
/localization/ekf/odom/twist/covariance[0,3],0,0,0,0
/localization/ekf/odom/twist/covariance[0,4],0,0,0,0
/localization/ekf/odom/twist/covariance[0,5],0,0,0,0
/localization/ekf/odom/twist/covariance[1,1],0,0,0,0
/localization/ekf/odom/twist/covariance[1,2],0,0,0,0
/localization/ekf/odom/twist/covariance[1,3],0,0,0,0
/localization/ekf/odom/twist/covariance[1,4],0,0,0,0
/localization/ekf/odom/twist/covariance[1,5],0,0,0,0
/localization/ekf/odom/twist/covariance[2,2],0,0,0,0
/localization/ekf/odom/twist/covariance[2,3],0,0,0,0
/localization/ekf/odom/twist/covariance[2,4],0,0,0,0
/localization/ekf/odom/twist/covariance[2,5],0,0,0,0
/localization/ekf/odom/twist/covariance[3,3],0,0,0,0
/localization/ekf/odom/twist/covariance[3,4],0,0,0,0
/localization/ekf/odom/twist/covariance[3,5],0,0,0,0
/localization/ekf/odom/twist/covariance[4,4],0,0,0,0
/localization/ekf/odom/twist/covariance[4,5],0,0,0,0
/localization/ekf/odom/twist/covariance[5,5],0,0,0,0
/localization/ekf/odom/twist/twist/angular/x,0.000165,-0.296757,0.257555,-0.000106,
/localization/ekf/odom/twist/twist/angular/y,9.3E-05,-0.195196,0.187832,-0.000881,
/localization/ekf/odom/twist/twist/angular/z,5E-05,-0.262303,0.221285,0.008484,
/localization/ekf/odom/twist/twist/linear/x,0,-4.139354,38.884507,5.454622,
/localization/ekf/odom/twist/twist/linear/y,0,-20.918948,5.196167,-0.022076,
/localization/ekf/odom/twist/twist/linear/z,0,0,0,0,
/localization/ekf/odom_bestpos/header/stamp,1632241930.77325,1632241930.77325,1632243399.40297,1632242665.09004,
/localization/ekf/odom_bestpos/pose/covariance[0,0],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[0,1],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[0,2],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[0,3],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[0,4],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[0,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[1,1],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[1,2],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[1,3],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[1,4],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[1,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[2,2],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[2,3],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[2,4],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[2,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[3,3],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[3,4],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[3,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[4,4],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[4,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/covariance[5,5],0,0,0,0
/localization/ekf/odom_bestpos/pose/pose/orientation/pitch_deg,0,0,0,0,
/localization/ekf/odom_bestpos/pose/pose/orientation/roll_deg,2.244801,-9.668454,2.479132,-0.698702,
/localization/ekf/odom_bestpos/pose/pose/orientation/w,0.021714,-1,1,-0.01944,
/localization/ekf/odom_bestpos/pose/pose/orientation/x,0.000425,-0.065472,0.077707,0.001071,
/localization/ekf/odom_bestpos/pose/pose/orientation/y,-0.019584,-0.021631,0.068658,-0.000103,
/localization/ekf/odom_bestpos/pose/pose/orientation/yaw_deg,-177.511032,-179.998729,179.999783,-67.598373,
/localization/ekf/odom_bestpos/pose/pose/orientation/z,-0.999572,-1,-4E-06,-0.731086,
/localization/ekf/odom_bestpos/pose/pose/position/x,-2039.443661,-2405.274525,-873.074238,-1828.844716,
/localization/ekf/odom_bestpos/pose/pose/position/y,296.73981,-413.771796,327.615523,79.674486,
/localization/ekf/odom_bestpos/pose/pose/position/z,0,0,0,0,
/localization/ekf/odom_bestpos/twist/covariance[0,0],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[0,1],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[0,2],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[0,3],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[0,4],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[0,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[1,1],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[1,2],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[1,3],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[1,4],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[1,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[2,2],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[2,3],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[2,4],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[2,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[3,3],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[3,4],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[3,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[4,4],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[4,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/covariance[5,5],0,0,0,0
/localization/ekf/odom_bestpos/twist/twist/angular/x,0,0,0,0,
/localization/ekf/odom_bestpos/twist/twist/angular/y,0,0,0,0,
/localization/ekf/odom_bestpos/twist/twist/angular/z,0,0,0,0,
/localization/ekf/odom_bestpos/twist/twist/linear/x,0,0,0,0,
/localization/ekf/odom_bestpos/twist/twist/linear/y,0,0,0,0,
/localization/ekf/odom_bestpos/twist/twist/linear/z,0,0,0,0,
/novatel_bottom/bestpos/datum_id,61,61,61,61,
/novatel_bottom/bestpos/diff_age,0,0,7,0.903895,
/novatel_bottom/bestpos/ext_sol_stat/status,6,6,33,30.621876,
/novatel_bottom/bestpos/galileo_beidou_sig_mask,0,0,0,0,
/novatel_bottom/bestpos/gps_glonass_sig_mask,51,17,51,50.954858,
/novatel_bottom/bestpos/header/stamp,1632241930.77306,1632241930.77306,1632243399.40286,1632242665.08993,
/novatel_bottom/bestpos/hgt,223.633649,220.791505,225.900252,222.878664,
/novatel_bottom/bestpos/hgt_stdev,4.764843,0.013542,6.174736,0.503277,
/novatel_bottom/bestpos/lat,39.791418,39.788123,39.801923,39.793314,
/novatel_bottom/bestpos/lat_stdev,3.449779,0.010455,4.437335,0.35985,
/novatel_bottom/bestpos/lon,-86.238612,-86.238973,-86.230317,-86.236078,
/novatel_bottom/bestpos/lon_stdev,3.295511,0.0099,4.215849,0.341555,
/novatel_bottom/bestpos/nov_header/gps_week_milliseconds,232348900,232348900,233817550,233083225,
/novatel_bottom/bestpos/nov_header/gps_week_number,2176,2176,2176,2176,
/novatel_bottom/bestpos/nov_header/idle_time,0,0,0,0,
/novatel_bottom/bestpos/nov_header/message_id,42,42,42,42,
/novatel_bottom/bestpos/nov_header/message_type,0,0,0,0,
